id,participantId,timeOfNotification,timeOfEngagement,timeOfContext,timeOfValence,timeOfArousal,valence,arousal,context
27,4,398322,418695,445787,432832,438441,NEUTRAL,MEDIUM,OTHER
28,4,1207854,1213214,1234830,1225417,1231059,POSITIVE,HIGH,CONVERSATION
29,4,1632001,1635069,1674502,1663489,1667863,NEGATIVE,LOW,CONVERSATION
30,4,2519901,0,0,0,0,NONE,NONE,NONE
31,4,2870691,0,0,0,0,NONE,NONE,NONE
32,4,3775930,0,0,0,0,NONE,NONE,NONE
33,4,4078936,4082602,4110423,4099608,4106566,POSITIVE,MEDIUM,CONVERSATION
34,4,4984332,4987509,5023409,5015376,5019515,NEUTRAL,LOW,CONVERSATION
35,4,5392857,0,0,0,0,NONE,NONE,NONE
36,4,6258034,6306827,6350439,6341905,6346349,POSITIVE,LOW,CONVERSATION
37,4,6654028,0,0,0,0,NONE,NONE,NONE
38,4,7537831,7560818,7584662,7576033,7579959,NEUTRAL,LOW,CONVERSATION
39,4,7998401,0,0,0,0,NONE,NONE,NONE
40,4,8909191,0,0,0,0,NONE,NONE,NONE
41,5,462762,0,0,0,0,NONE,NONE,NONE
42,5,1033450,1037216,1061281,1047854,1053884,NEUTRAL,MEDIUM,OTHER
43,5,1706499,0,0,0,0,NONE,NONE,NONE
44,5,2296570,0,0,0,0,NONE,NONE,NONE
45,5,2923590,0,0,0,0,NONE,NONE,NONE
46,5,3810481,3814183,3832718,3824055,3828757,POSITIVE,MEDIUM,CONVERSATION
47,5,4282997,0,0,0,0,NONE,NONE,NONE
48,6,484658,0,0,0,0,NONE,NONE,NONE
49,6,996095,1003869,1040125,1024551,1031703,POSITIVE,MEDIUM,OTHER
50,6,1984793,1987621,2006622,1996185,2001620,POSITIVE,MEDIUM,CONVERSATION
51,6,2223253,2241585,2264887,2252721,2259434,POSITIVE,LOW,WALKING
52,6,3257255,3285071,3302306,3294247,3298276,POSITIVE,MEDIUM,WALKING
53,6,3482852,3486170,3503682,3494330,3499793,POSITIVE,MEDIUM,WALKING
54,7,438176,457822,483704,468378,479593,NEUTRAL,MEDIUM,WALKING
55,7,980338,0,0,0,0,NONE,NONE,NONE
56,7,1641094,1656884,1677728,1669702,1673799,POSITIVE,MEDIUM,CONVERSATION
57,7,2305050,0,0,0,0,NONE,NONE,NONE
58,7,2946746,2955282,2980581,2966335,2975176,NEUTRAL,LOW,VIEW_BOOTH
59,7,3743733,3748179,3766580,3758612,3762573,NEUTRAL,MEDIUM,WALKING
60,7,4237995,0,0,0,0,NONE,NONE,NONE
61,7,5084528,0,0,0,0,NONE,NONE,NONE
62,8,389047,420625,463986,436690,459735,POSITIVE,MEDIUM,CONVERSATION
63,8,1004645,1008855,1040595,1023803,1032378,POSITIVE,MEDIUM,OTHER
64,8,1919221,1931695,1992970,1969430,1988013,NEUTRAL,MEDIUM,CONVERSATION
65,8,2304132,2321452,2351306,2331563,2341606,POSITIVE,MEDIUM,OTHER
66,8,3121983,3131925,3486662,3157033,3482671,POSITIVE,MEDIUM,WALKING
67,8,3516191,3519846,3541834,3529143,3536563,NEUTRAL,MEDIUM,VIEW_BOOTH
68,9,440526,445315,465909,455321,459339,POSITIVE,HIGH,VIEW_BOOTH
69,9,1054085,1057909,1080160,1070152,1075098,POSITIVE,HIGH,CONVERSATION
70,9,1722949,0,0,0,0,NONE,NONE,NONE
71,9,2254651,2271819,3737241,2283233,2287237,NEUTRAL,HIGH,VIEW_BOOTH
72,9,2937850,0,0,0,0,NONE,NONE,NONE
73,9,3508986,0,0,0,0,NONE,NONE,NONE
74,10,396440,414965,433816,423861,429852,NEUTRAL,LOW,CONVERSATION
75,10,973814,991385,1015126,1005754,1010567,NEUTRAL,LOW,OTHER
76,10,1714211,1718463,1744852,1732967,1739303,NEUTRAL,MEDIUM,VIEW_BOOTH
77,10,2278818,2288071,2316326,2302447,2310891,NEUTRAL,MEDIUM,WALKING
78,10,2917077,0,0,0,0,NONE,NONE,NONE
79,10,3485331,3502674,3522581,3514834,3518716,POSITIVE,HIGH,VIEW_BOOTH
80,10,4139053,4143444,4183361,4172053,4178035,POSITIVE,MEDIUM,VIEW_BOOTH
81,10,4728105,4731602,4748899,4740655,4744889,NEUTRAL,LOW,VIEW_BOOTH
82,10,5417150,5432962,5451095,5442474,5446660,NEGATIVE,LOW,OTHER
83,10,5942145,5951917,5968416,5960758,5964570,POSITIVE,MEDIUM,OTHER
84,10,6725895,6737449,6753352,6745452,6749503,NEUTRAL,MEDIUM,OTHER
85,10,7191467,7195461,7211190,7203423,7207195,NEGATIVE,LOW,OTHER
86,10,7952233,7968095,7984532,7976096,7980614,NEUTRAL,MEDIUM,OTHER
87,10,8492220,8499887,8522413,8514738,8518572,NEUTRAL,MEDIUM,OTHER
88,10,9170759,9187921,9212255,9203547,9207313,NEUTRAL,MEDIUM,WALKING
89,11,360955,389975,412833,398929,403465,POSITIVE,LOW,OTHER
90,11,972477,977166,997502,985754,989832,NEUTRAL,LOW,OTHER
91,11,1623997,1630973,1647457,1639451,1643935,NEUTRAL,MEDIUM,OTHER
92,11,2275129,2280181,2296938,2288590,2292975,NEUTRAL,LOW,OTHER
93,11,2911933,2918540,2934638,2926380,2930641,NEUTRAL,LOW,OTHER
94,11,3538928,3544360,3560998,3553040,3557121,NEUTRAL,MEDIUM,OTHER
95,12,471215,528562,557396,544878,551091,NEGATIVE,LOW,OTHER
96,12,1225258,1280326,1299757,1292099,1296126,POSITIVE,MEDIUM,OTHER
97,12,1836039,1840018,1861866,1850346,1857708,POSITIVE,LOW,OTHER
98,12,2486363,2492365,2512306,2503087,2507925,NEUTRAL,LOW,OTHER
99,12,3137287,3145520,3164396,3153542,3160267,POSITIVE,LOW,OTHER
100,12,3789210,3796685,3816312,3807352,3811878,NEGATIVE,LOW,OTHER
101,12,4440308,4510695,4535084,4524621,4531188,NEGATIVE,HIGH,WALKING
102,12,5007515,0,0,0,0,NONE,NONE,NONE
103,13,388378,0,0,0,0,NONE,NONE,NONE
104,13,980393,989667,0,1005387,0,POSITIVE,NONE,NONE
105,13,1710477,1724079,0,1734913,1753250,NEUTRAL,MEDIUM,NONE
106,13,2224206,2240747,2256354,2248791,2252390,NEUTRAL,HIGH,WALKING
107,13,2936041,2946102,0,2953065,0,NEUTRAL,NONE,NONE
108,13,3563535,0,0,0,0,NONE,NONE,NONE
109,13,4166275,0,0,0,0,NONE,NONE,NONE
110,13,4783096,4787032,0,0,0,NONE,NONE,NONE
111,14,403464,420660,440265,429027,431958,POSITIVE,MEDIUM,VIEW_BOOTH
112,14,969390,979347,998577,989891,992501,NEUTRAL,MEDIUM,VIEW_BOOTH
113,14,1682520,1698696,1712380,1706198,1709353,NEUTRAL,HIGH,OTHER
114,14,2210289,2218612,2236363,2231282,2233720,NEUTRAL,LOW,OTHER
115,14,2899497,2904801,2918423,2911879,2916203,NEUTRAL,MEDIUM,OTHER
116,14,3484157,3488140,3496411,3492407,3494872,NEUTRAL,MEDIUM,WALKING
117,14,4221518,4225648,4241502,4237724,4239472,NEUTRAL,MEDIUM,VIEW_BOOTH
118,14,4746426,4755810,4792302,4784322,4787508,NEUTRAL,MEDIUM,VIEW_BOOTH
119,14,5422344,5460655,5468614,5464395,5466205,POSITIVE,HIGH,OTHER
120,14,6037674,6058817,6066762,6062339,6064123,POSITIVE,HIGH,OTHER
121,14,6638455,6647724,6655649,6651931,6653654,POSITIVE,MEDIUM,OTHER
122,15,437376,441581,472237,454875,467599,NEUTRAL,MEDIUM,CONVERSATION
123,15,992469,996800,1027268,1012815,1023064,NEUTRAL,MEDIUM,WALKING
124,15,1637650,0,0,0,0,NONE,NONE,NONE
125,15,2274154,0,0,0,0,NONE,NONE,NONE
126,15,2988971,0,0,0,0,NONE,NONE,NONE
127,15,3615871,0,0,0,0,NONE,NONE,NONE
128,15,4195442,4199293,4216706,4208418,4212390,POSITIVE,HIGH,OTHER
129,15,4833093,4853849,4869948,4862464,4866272,POSITIVE,MEDIUM,VIEW_BOOTH
130,15,5704140,5709092,5726903,5717912,5722864,NEUTRAL,MEDIUM,VIEW_BOOTH
131,15,6065767,6069742,6092620,6082637,6088334,NEUTRAL,LOW,VIEW_BOOTH
132,15,7212321,7217115,7235556,7227281,7231793,NEUTRAL,MEDIUM,VIEW_BOOTH
133,15,7322566,7326529,7370005,7336440,7340684,NEUTRAL,MEDIUM,OTHER
134,15,8649102,0,0,0,0,NONE,NONE,NONE
135,15,8649125,8656903,8675123,8665598,8670989,NEUTRAL,MEDIUM,OTHER
136,16,374353,0,0,0,0,NONE,NONE,NONE
137,16,1032124,1044697,1087131,1058687,1070082,NEUTRAL,HIGH,VIEW_BOOTH
138,16,1656017,1660069,1686740,1674587,1678965,POSITIVE,MEDIUM,VIEW_BOOTH
139,16,2346461,2366522,2392805,2383298,2388594,POSITIVE,LOW,VIEW_BOOTH
140,16,2864762,2875565,2901365,2889232,2895220,NEUTRAL,MEDIUM,VIEW_BOOTH
141,16,3580123,3587169,3607438,3597425,3602877,POSITIVE,LOW,VIEW_BOOTH
142,17,385603,0,0,0,0,NONE,NONE,NONE
143,17,1177480,1187827,1207407,1197959,1202464,POSITIVE,MEDIUM,CONVERSATION
144,17,1629916,0,0,0,0,NONE,NONE,NONE
145,17,2378390,2395909,2414759,2405054,2409389,POSITIVE,HIGH,OTHER
146,17,2857757,0,0,0,0,NONE,NONE,NONE
147,17,4127539,0,0,0,0,NONE,NONE,NONE
148,17,4127579,4132459,4154750,4144095,4149272,NEUTRAL,HIGH,OTHER
149,17,5372431,0,0,0,0,NONE,NONE,NONE
150,17,5372478,5379120,5398635,5389985,5394418,POSITIVE,MEDIUM,OTHER
151,17,6699484,0,0,0,0,NONE,NONE,NONE
152,17,6699526,0,0,0,0,NONE,NONE,NONE
153,18,391334,0,0,0,0,NONE,NONE,NONE
154,18,1187853,0,0,0,0,NONE,NONE,NONE
155,18,1698053,0,0,0,0,NONE,NONE,NONE
156,18,2644900,0,0,0,0,NONE,NONE,NONE
157,18,3190342,3215151,3242119,3226979,3235162,POSITIVE,MEDIUM,CONVERSATION
158,18,3924845,0,0,0,0,NONE,NONE,NONE
159,18,4443362,0,0,0,0,NONE,NONE,NONE
160,19,688424,0,0,0,0,NONE,NONE,NONE
161,19,1294141,1415217,1431226,1424046,1426928,POSITIVE,MEDIUM,CONVERSATION
162,19,1955322,1961892,1972531,1966683,1969333,POSITIVE,HIGH,CONVERSATION
163,19,2601157,2629622,2651502,2641481,2646733,POSITIVE,MEDIUM,OTHER
164,19,3164532,3169232,3185048,3175434,3178806,NEUTRAL,MEDIUM,CONVERSATION
165,19,3921753,3925215,3939677,3931322,3934806,NEUTRAL,HIGH,WALKING
166,20,373771,386930,419180,397258,410188,POSITIVE,MEDIUM,VIEW_BOOTH
167,20,1173118,0,0,0,0,NONE,NONE,NONE
168,20,1888710,0,0,0,0,NONE,NONE,NONE
169,20,2579446,0,0,0,0,NONE,NONE,NONE
170,20,3165605,3170422,3202474,3188909,3196662,NEUTRAL,MEDIUM,OTHER
171,20,3805263,3810431,3830273,3820936,3826839,NEUTRAL,MEDIUM,OTHER
172,20,6758574,0,0,0,0,NONE,NONE,NONE
173,20,6758600,6763765,6784057,6775562,6780228,NEGATIVE,MEDIUM,OTHER
174,21,385802,393372,410816,401501,405852,POSITIVE,HIGH,CONVERSATION
175,21,1024751,0,0,0,0,NONE,NONE,NONE
176,21,1693725,0,0,0,0,NONE,NONE,NONE
177,21,2532744,2539297,2561349,2550342,2554795,NEUTRAL,MEDIUM,VIEW_BOOTH
178,21,3172740,3178901,3198546,3190166,3194151,NEUTRAL,MEDIUM,OTHER
179,21,3827443,3834605,3853997,3844661,3849645,NEUTRAL,LOW,OTHER
180,21,4479785,4486212,4504725,4495182,4499348,NEUTRAL,LOW,OTHER
181,21,5131181,5139047,5159896,5146523,5150753,POSITIVE,MEDIUM,CONVERSATION
182,21,5711830,5714978,5737651,5729696,5733514,NEUTRAL,HIGH,CONVERSATION
183,21,6683983,6692843,6710683,6702965,6706728,POSITIVE,HIGH,OTHER
184,21,7019082,7026023,7048869,7035489,7045423,NEUTRAL,MEDIUM,CONVERSATION
185,22,428119,434457,454721,442558,446783,NEUTRAL,MEDIUM,OTHER
186,22,991572,1000928,1016396,1008673,1012737,NEUTRAL,LOW,OTHER
187,22,1669957,1673695,1689053,1680980,1684893,NEUTRAL,LOW,OTHER
188,22,2200455,2203937,0,2211854,2216266,POSITIVE,LOW,NONE
189,22,3049656,3054862,3071589,3063222,3067288,NEUTRAL,MEDIUM,OTHER
190,22,3477857,3490396,3505673,3498249,3502057,NEUTRAL,LOW,OTHER
191,22,4315873,4320309,4335554,4327698,4331441,NEGATIVE,MEDIUM,OTHER
192,22,4722764,4730027,4746527,4738793,4742585,NEGATIVE,LOW,OTHER
193,22,5548660,5563012,5578725,5570634,5574928,NEUTRAL,MEDIUM,OTHER
194,22,5941373,5947167,5962518,5954889,5958740,NEUTRAL,MEDIUM,OTHER
195,22,6851905,6856347,6875883,6867202,6871749,NEGATIVE,LOW,OTHER
196,22,7186700,7191185,7206608,7198813,7202627,NEUTRAL,MEDIUM,OTHER
197,23,418852,0,0,0,0,NONE,NONE,NONE
198,23,1047926,1055012,1102461,1071688,1083843,NEUTRAL,LOW,CONVERSATION
199,23,1772464,1792462,1835713,1804059,1832868,NEUTRAL,MEDIUM,CONVERSATION
200,23,2426188,0,0,0,0,NONE,NONE,NONE
201,23,3270690,0,0,0,0,NONE,NONE,NONE
202,23,3678841,0,0,0,0,NONE,NONE,NONE
203,23,4547430,4586395,4599023,4591266,4595541,POSITIVE,HIGH,CONVERSATION
204,23,4974672,4979399,4997970,4988056,4995167,POSITIVE,HIGH,WALKING
205,23,5817273,5821397,5836072,5829665,5834083,NEUTRAL,HIGH,CONVERSATION
206,23,6237779,0,0,0,0,NONE,NONE,NONE
207,23,7031913,7049611,7084672,7071116,7074149,POSITIVE,HIGH,CONVERSATION
208,23,7550340,7597681,7607995,7603163,7606027,NEUTRAL,MEDIUM,CONVERSATION
209,23,8409647,8415493,8437908,8424950,8427100,POSITIVE,MEDIUM,WALKING
210,24,375235,379813,393686,386003,389556,NEUTRAL,MEDIUM,WALKING
