timestamp,x,y,z
859269,-3265,-1325,894
859310,-3472,-1413,620
859350,-3596,-1488,535
859390,-3416,-1743,616
859431,-3157,-1970,672
859471,-3027,-2268,515
859511,-2989,-2224,663
859551,-3108,-2053,773
859591,-3241,-2006,913
859632,-3288,-2072,1044
859672,-3428,-1958,1092
859712,-3718,-1693,1130
859752,-3879,-1450,1345
859793,-3924,-1072,1623
859834,-3959,-717,1891
859873,-3631,-1187,1635
859913,-4102,-1033,1382
859954,-3906,-1228,1067
859994,-4332,-1304,834
860035,-4283,-1046,845
860075,-3724,-1133,823
860115,-3576,-1130,804
860155,-3320,-1091,662
860195,-3646,-1139,606
860236,-3816,-1233,591
860276,-3815,-1154,469
860316,-3748,-1153,372
860356,-3468,-1053,380
860397,-3378,-1052,397
860438,-3398,-1207,448
860475,-3465,-1252,493
860515,-3578,-1193,595
860555,-3756,-1103,694
860595,-3828,-1129,791
860636,-3787,-1228,973
860675,-3738,-1364,1134
860715,-3648,-1334,1389
860755,-3663,-1328,1446
860795,-3645,-1458,1413
860836,-3744,-1481,1443
860875,-3651,-1425,1367
860915,-3852,-1540,1227
860956,-3908,-1533,1064
860996,-3923,-1475,1092
861037,-4238,-1410,936
861076,-4589,-1467,912
861117,-4408,-1350,859
861157,-3932,-1222,781
861197,-3573,-1043,759
861238,-3670,-933,630
861277,-3691,-948,424
861318,-3856,-873,654
861358,-3986,-991,661
861398,-3930,-1015,702
861439,-3459,-845,731
861479,-3134,-845,814
861519,-2970,-817,903
861559,-3097,-986,947
861600,-3356,-1174,1135
861641,-3798,-1214,1361
861681,-3759,-1269,1625
861721,-3761,-1355,1693
861761,-4072,-1323,1975
861801,-3887,-1098,1666
861842,-3693,-1395,1317
861881,-3704,-1429,1243
861922,-3871,-1420,1236
861962,-3831,-1277,1225
862002,-3936,-1257,1242
862043,-4096,-1206,1228
862082,-3788,-1133,1135
862122,-3943,-942,1044
862163,-4172,-994,1036
862203,-3903,-999,991
862244,-3623,-1156,930
862283,-3505,-844,890
862323,-3426,-744,870
862363,-3396,-803,806
862404,-3425,-854,753
862445,-3570,-907,791
862484,-3629,-963,739
862524,-3519,-993,744
862564,-3751,-1127,720
862604,-3901,-1219,727
862645,-4003,-1251,702
862685,-4099,-1130,678
862725,-3894,-1281,742
862765,-3898,-1306,739
862805,-3862,-1461,783
862846,-3820,-1367,799
862885,-3628,-1363,870
862926,-3818,-1314,986
862966,-3716,-1279,1122
863006,-3714,-1285,1256
863047,-3747,-1176,1331
863086,-3791,-1133,1345
863127,-3795,-974,1383
863167,-3701,-872,1349
863207,-3669,-898,1293
863248,-3626,-896,1115
863288,-3624,-954,1175
863328,-3613,-986,1119
863368,-3637,-1025,1148
863408,-3926,-1033,1147
863449,-3902,-929,1244
863489,-4178,-996,1276
863529,-4473,-952,1398
863569,-3540,-777,1338
863610,-3631,-755,1028
863651,-3242,-718,889
863690,-3546,-760,599
863730,-3777,-873,590
863771,-3868,-923,717
863811,-3832,-853,769
863852,-3687,-623,775
863891,-3648,-510,820
863931,-3712,-575,961
863972,-3575,-724,1044
864012,-3597,-799,1142
864053,-3576,-858,1207
864092,-3527,-841,1484
864133,-3560,-960,1387
864173,-3509,-1038,1256
864213,-3570,-954,1192
864254,-3610,-920,1277
864294,-3667,-885,1370
864334,-3709,-898,1373
864374,-3734,-928,1375
864414,-3981,-906,1327
